鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總件數,總車位數,平均總價元,平均車位總價元
新莊區,房地(土地+建物),思源路241~270號,17.45,都市：其他:住宅區,,,1100121,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690805,80.92,3,2,2,有,無,8800000,108749,,0.0,0,陽台外推;,RPTUMLSKKHGGFBF78DA,80.92,0.0,0.0,無,328.0,2,0,4400000,0
泰山區,房地(土地+建物),泰林路二段571~600號,24.21,都市：其他:住宅區,,,1091226,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691209,89.26,3,2,2,有,無,6350000,71140,,0.0,0,陽台外推;,RPVQMLRKKHGGFBF48DA,89.26,0.0,0.0,無,,2,0,3175000,0
新莊區,房地(土地+建物),中正路451~480號,27.74,都市：其他:住宅區,,,1091230,土地1建物1車位0,一層，平台，騎樓，停車場,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0691226,123.95,0,1,1,有,無,23800000,192013,,0.0,0,其他增建;,RPSNMLSKKHGGFBF97DA,123.95,0.0,0.0,無,,2,0,11900000,0
新莊區,房地(土地+建物)+車位,福美街172巷31~60號,36.91,都市：其他:第二種住宅區,,,1100121,土地1建物1車位1,三層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021223,244.48000000000002,4,2,2,有,有,27500000,124621,坡道平面,39.86,2000000,,RPROMLSJKHGGFBF87DA,120.58,7.26,10.06,有,329.0,3,1,9166666,2000000
新莊區,房地(土地+建物),中港路511~540號,22.09,都市：其他:住宅區,,,1091221,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710506,95.7,3,2,1,有,無,8000000,83595,,0.0,0,,RPUSMLPJKHGGFBF28DA,89.9,0.0,5.8,無,,2,0,4000000,0
五股區,房地(土地+建物),五工一路91~120號,1534.39,,工業區,丁種建築用地,1100118,土地1建物1車位0,全,一層,透天厝,見其他登記事項,鋼造,0800426,1124.61,0,0,0,無,無,376890000,335130,,0.0,0,,RPQNMLRJKHGGFBF57DA,1124.61,0.0,0.0,無,,2,0,188445000,0
新莊區,房地(土地+建物),中信街99巷1~30號,26.92,都市：其他:住宅區,,,1100117,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760909,98.5,3,2,2,有,無,9860000,100102,,0.0,0,陽台外推;,RPUNMLNLJHGGFBF67DA,88.52,0.0,9.98,無,330.0,2,0,4930000,0
新莊區,房地(土地+建物),後港一路76巷3弄1~30號,31.81,都市：其他:住宅區,,,1091229,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781014,121.01,3,2,2,有,無,7600000,62805,,0.0,0,其他增建;,RPVPMLQLJHGGFBF28DA,95.01,0.0,8.92,無,,2,0,3800000,0
新莊區,房地(土地+建物),昌盛街35巷2弄1~30號,20.22,都市：其他:住宅區,,,1100114,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0660202,69.62,3,2,1,有,無,11600000,166619,,0.0,0,其他增建;,RPTSMLMJKHGGFBF87DA,69.62,0.0,0.0,無,,2,0,5800000,0
新莊區,房地(土地+建物),昌盛街103巷1~30號,21.18,都市：其他:住宅區,,,1100124,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681217,77.0,2,2,1,有,無,7350000,95455,,0.0,0,陽台外推;其他增建;,RPPPMLNJKHGGFBF27DA,77.0,0.0,0.0,無,331.0,2,0,3675000,0
林口區,房地(土地+建物)+車位,文化二路二段88巷1~30號,21.46,都市：其他:第五種住宅區,,,1100110,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960528,161.41000000000003,3,2,2,有,有,11750000,72796,坡道平面,36.65,0,,RPXNMLKLJHGGFBF67DA,77.36,3.22,8.96,有,332.0,3,1,3916666,0
泰山區,房地(土地+建物),泰林路二段481~510號,20.5,都市：其他:住宅區,,,1091231,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950710,90.24,2,1,1,有,有,8350000,92531,,0.0,0,陽台外推;,RPXRMLSKJHGGFBF78DA,56.99,1.34,8.8,有,,2,0,4175000,0
新莊區,房地(土地+建物),中正路新生巷31~60號,25.27,都市：其他:住宅區,,,1100105,土地2建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681222,90.94,3,2,2,有,無,6600000,72575,,0.0,0,陽台外推;,RPWNMLQKJHGGFBF08DA,90.94,0.0,0.0,無,,3,0,2200000,0
林口區,房地(土地+建物),自強四街1~30號,28.63,都市：其他:第四種住宅區,,,1100106,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760326,77.65,3,1,1,有,無,4700000,60528,,0.0,0,陽台外推;,RPVOMLRJJHGGFBF08DA,72.28,0.0,5.37,無,,2,0,2350000,0
新莊區,房地(土地+建物),昌盛街61~90號,29.16,都市：其他:住宅區,,,1091218,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721210,89.53,3,1,1,有,無,8300000,92706,,0.0,0,陽台外推;頂樓加蓋;,RPXOMLKMKIPFFBF88DA,76.98,0.0,12.55,無,,3,0,2766666,0
